mame2003 per-game video output color format
======================================================================

HOW THE FORMAT IS CHOSEN (per loaded game, default options)
----------------------------------------------------------------------
The libretro pixel format is selected once at load from the driver's video
attributes, and the frame is delivered with the fewest copies/conversions:

  VIDEO_RGB_DIRECT + (6BITS_PER_GUN or VECTOR) -> 32bpp -> XRGB8888
      Direct RGB; handed to the frontend as-is. Zero-copy pointer pass
      straight from the game bitmap when the game is not rotated/flipped.
  VIDEO_RGB_DIRECT (no 6BITS, not vector)      -> 15bpp -> RGB565
      0RGB1555 is up-converted to RGB565 with a single shift per pixel
      (RGB565 is the frontend's fast path; 0RGB1555 is not).
  paletted + 6BITS_PER_GUN                      -> 16bpp -> XRGB8888
      Palette index resolved to 32bpp via the game palette.
  paletted (otherwise)                          -> 16bpp -> RGB565
      Palette pre-resolved to an RGB565 table on palette change; the
      per-pixel path is a plain table lookup with no arithmetic.

In every non-bypass case the conversion writes straight into the frontend
framebuffer when GET_CURRENT_SOFTWARE_FRAMEBUFFER grants one, else into an
internal buffer. Rotated/flipped games convert rather than bypass.

Totals: RGB565 3642 (79.4%), XRGB8888 947 (20.6%) of 4589 games.


######################################################################
# RGB565  - paletted 16bpp, palette pre-resolved to 565 (table lookup)   (3641 games)
######################################################################
mcatadv        machine=mcatadv          RGB565
mcatadvj       machine=mcatadv          RGB565
mcnpshnt       machine=mcnpshnt         RGB565
mcontest       machine=mcontest         RGB565
mdhorse        machine=coh700           RGB565
mechatt        machine=mechatt          RGB565
medlanes       machine=medlanes         RGB565
megab          machine=megab            RGB565
megabj         machine=megab            RGB565
megadon        machine=epos             RGB565
megaforc       machine=senjyo           RGB565
megatack       machine=gameplan         RGB565
megatech       machine=megatech         RGB565
megaznik       machine=megazone         RGB565
megazone       machine=megazone         RGB565
meikyuh        machine=ghostb           RGB565
mermaid        machine=mermaid          RGB565
metafox        machine=metafox          RGB565
metalb         machine=metalb           RGB565
metalbj        machine=metalb           RGB565
meteor         machine=spcforce         RGB565
metlclsh       machine=metlclsh         RGB565
metmqstr       machine=metmqstr         RGB565
metrocra       machine=metrocrs         RGB565
metrocrs       machine=metrocrs         RGB565
mexico86       machine=mexico86         RGB565
mfunclub       machine=fromance         RGB565
mgakuen        machine=mgakuen          RGB565
mgakuen2       machine=marukin          RGB565
mgcldate       machine=fx1a             RGB565
mgcldtea       machine=fx1a             RGB565
mgcrystj       machine=mgcrystl         RGB565
mgcrystl       machine=mgcrystl         RGB565
mgmen89        machine=mgmen89          RGB565
mhgaiden       machine=mrokumei         RGB565
mia            machine=mia              RGB565
mia2           machine=mia              RGB565
miaj           machine=mia              RGB565
midres         machine=midres           RGB565
midresj        machine=midres           RGB565
midresu        machine=midres           RGB565
miexchng       machine=neogeo           RGB565
mightguy       machine=mightguy         RGB565
mightybj       machine=vsnes            RGB565
mikie          machine=mikie            RGB565
mikiehs        machine=mikie            RGB565
mikiej         machine=mikie            RGB565
milliped       machine=milliped         RGB565
millpac        machine=centipb2         RGB565
mimonkey       machine=mimonkey         RGB565
mimonsco       machine=mimonkey         RGB565
mimonscr       machine=mimonscr         RGB565
minasan        machine=neogeo           RGB565
mineswpr       machine=blasto           RGB565
minferno       machine=minferno         RGB565
minigol2       machine=balsente         RGB565
minigolf       machine=balsente         RGB565
minivadr       machine=minivadr         RGB565
missb2         machine=missb2           RGB565
missile        machine=missile          RGB565
missile2       machine=missile          RGB565
missw96        machine=comad            RGB565
mizubaku       machine=liquidk          RGB565
mj4simai       machine=mj4simai         RGB565
mjanbari       machine=mjanbari         RGB565
mjangels       machine=yarunara         RGB565
mjcamera       machine=otonano          RGB565
mjclinic       machine=mrokumei         RGB565
mjderngr       machine=mjderngr         RGB565
mjdialq2       machine=mjdialq2         RGB565
mjdiplob       machine=mjdiplob         RGB565
mjegolf        machine=mjegolf          RGB565
mjfocus        machine=mjfocus          RGB565
mjfocusm       machine=mjfocusm         RGB565
mjfriday       machine=mjfriday         RGB565
mjgottsu       machine=mjgottsu         RGB565
mjhokite       machine=mrokumei         RGB565
mjifb          machine=mjderngr         RGB565
mjikaga        machine=lemnangl         RGB565
mjkinjas       machine=mjkinjas         RGB565
mjkjidai       machine=mjkjidai         RGB565
mjkoiura       machine=mjkoiura         RGB565
mjkojink       machine=pteacher         RGB565
mjlaman        machine=mjlaman          RGB565
mjleague       machine=mjleague         RGB565
mjlstory       machine=mjlstory         RGB565
mjnanpaa       machine=mjnanpas         RGB565
mjnanpas       machine=mjnanpas         RGB565
mjnanpau       machine=mjnanpas         RGB565
mjnatsu        machine=fromance         RGB565
mjnquesb       machine=mjnquest         RGB565
mjnquest       machine=mjnquest         RGB565
mjsikakb       machine=mjsikaku         RGB565
mjsikaku       machine=mjsikaku         RGB565
mjsister       machine=mjsister         RGB565
mjuraden       machine=mjuraden         RGB565
mjyougo        machine=pteacher         RGB565
mjyuugi        machine=mjyuugi          RGB565
mjyuugia       machine=mjyuugi          RGB565
mjzoomin       machine=jalmah           RGB565
mk             machine=tunit_adpcm      RGB565
mk3            machine=wunit            RGB565
mk3r10         machine=wunit            RGB565
mk3r20         machine=wunit            RGB565
mkeibaou       machine=mkeibaou         RGB565
mkla1          machine=mk               RGB565
mkla2          machine=mk               RGB565
mkla3          machine=mk               RGB565
mkla4          machine=mk               RGB565
mkprot9        machine=mk               RGB565
mkr4           machine=tunit_adpcm      RGB565
mladyhtr       machine=mjnanpas         RGB565
mmcamera       machine=mmcamera         RGB565
mmehyou        machine=mmehyou          RGB565
mmonkey        machine=mmonkey          RGB565
mmpanic        machine=mmpanic          RGB565
mnchmobl       machine=munchmo          RGB565
mnight         machine=mnight           RGB565
moegonta       machine=karatour         RGB565
mofflott       machine=galmedes         RGB565
moguchan       machine=percuss          RGB565
mogura         machine=mogura           RGB565
mole           machine=mole             RGB565
momoko         machine=momoko           RGB565
monkeyd        machine=cclimber         RGB565
monsterb       machine=monsterb         RGB565
montecar       machine=montecar         RGB565
monymony       machine=zaccaria         RGB565
moonal2        machine=mooncrst         RGB565
moonal2b       machine=mooncrst         RGB565
moonaln        machine=galaxian         RGB565
moonbase       machine=invaders         RGB565
mooncrgx       machine=mooncrgx         RGB565
mooncrs2       machine=mooncrst         RGB565
mooncrsa       machine=mooncrst         RGB565
mooncrsb       machine=mooncrst         RGB565
mooncrsg       machine=mooncrst         RGB565
mooncrst       machine=mooncrst         RGB565
mooncrsu       machine=mooncrst         RGB565
moonqsr        machine=moonqsr          RGB565
moonwalk       machine=moonwalk         RGB565
moonwar        machine=moonwar          RGB565
moonwara       machine=moonwar          RGB565
moonwlka       machine=moonwalk         RGB565
moonwlkb       machine=moonwalk         RGB565
moremorp       machine=hyperpac         RGB565
mosaic         machine=mosaic           RGB565
mosaica        machine=mosaic           RGB565
mosyougi       machine=neogeo           RGB565
motorace       machine=travrusa         RGB565
motos          machine=motos            RGB565
mouja          machine=mouja            RGB565
mouser         machine=mouser           RGB565
mouserc        machine=mouser           RGB565
mpatrol        machine=mpatrol          RGB565
mpatrolw       machine=mpatrol          RGB565
mplanets       machine=gottlieb         RGB565
mplanuk        machine=gottlieb         RGB565
mrdo           machine=mrdo             RGB565
mrdofix        machine=mrdo             RGB565
mrdot          machine=mrdo             RGB565
mrdoy          machine=mrdo             RGB565
mrdrillr       machine=coh700           RGB565
mrdrilr2       machine=namcos10         RGB565
mrdu           machine=mrdo             RGB565
mrflea         machine=mrflea           RGB565
mrgoemon       machine=mrgoemon         RGB565
mrheli         machine=m72              RGB565
mrjong         machine=mrjong           RGB565
mrkougar       machine=mrkougar         RGB565
mrkougb        machine=mrkougb          RGB565
mrkougr2       machine=mrkougar         RGB565
mrlo           machine=mrdo             RGB565
mrokumei       machine=mrokumei         RGB565
mrtnt          machine=pacman           RGB565
mrviking       machine=small            RGB565
mrvikngj       machine=small            RGB565
mschamp        machine=mschamp          RGB565
mscoutm        machine=mscoutm          RGB565
msgunda1       machine=msgundam         RGB565
msgundam       machine=msgundam         RGB565
mshuttle       machine=mshuttle         RGB565
mshuttlj       machine=mshuttle         RGB565
msisaac        machine=msisaac          RGB565
msjiken        machine=msjiken          RGB565
mslug          machine=neogeo           RGB565
mslug2         machine=neogeo           RGB565
mslug3         machine=neogeo           RGB565
mslug3n        machine=neogeo           RGB565
mslugx         machine=neogeo           RGB565
mspacmab       machine=pacman           RGB565
mspacman       machine=mspacman         RGB565
mspacmat       machine=mspacman         RGB565
mspacpls       machine=mspacpls         RGB565
mstadium       machine=bottom9          RGB565
mt_aftrb       machine=megatech         RGB565
mt_astro       machine=megatech         RGB565
mt_bbros       machine=megatech         RGB565
mt_beast       machine=megatech         RGB565
mt_eswat       machine=megatech         RGB565
mt_fshrk       machine=megatech         RGB565
mt_gaxe        machine=megatech         RGB565
mt_gaxe2       machine=megatech         RGB565
mt_ggolf       machine=megatech         RGB565
mt_gng         machine=megatech         RGB565
mt_gsocr       machine=megatech         RGB565
mt_kcham       machine=megatech         RGB565
mt_lastb       machine=megatech         RGB565
mt_mwalk       machine=megatech         RGB565
mt_mystd       machine=megatech         RGB565
mt_parlg       machine=megatech         RGB565
mt_revsh       machine=megatech         RGB565
