mame2003 per-game audio class list
======================================================================

WHAT THE CLASSES MEAN
----------------------------------------------------------------------
Class 1 (no resampling): every sound source in the game synthesizes audio
  directly at the core's chosen output rate. The mixer is a 1:1 copy; there
  is no rate conversion inside the core. (AY8910, SN76496, YM2203, YM2612,
  OKIM6295, DAC, MSM5205/ADPCM, qsound, SEGAPCM, K-series PCM, POKEY, etc.)

Class 2 (resampling needed): the sound source runs at a fixed clock-derived
  rate that is NOT the output rate, so the mixer must resample it. (YM2151,
  YM3812/YM3526/Y8950, YMF262, YM2413, YM2608, YM2610/B, NAMCO wavetable,
  C140, VLM5030, SP0250, SCSP, GAELCO.)

Per game we bucket as:
  NONE   - 0 class-2 sources              -> already no core resampling
nslasher       machine=nslasher         YM2151
nslasherj      machine=nslasher         YM2151
nspirit        machine=m72              YM2151
nspiritj       machine=m72              YM2151
ntopstar       machine=ntopstar         YM3812
numanath       machine=namcona1         NAMCONA
numanatj       machine=namcona1         NAMCONA
nyanpani       machine=nyanpani         YM3812
oneshot        machine=oneshot          YM3812
opwolf         machine=opwolf           YM2151
opwolfb        machine=opwolfb          YM2151
oscar          machine=oscar            YM3526
oscarj         machine=oscar            YM3526
oscarj0        machine=oscar            YM3526
oscarj1        machine=oscar            YM3526
otatidai       machine=otatidai         YM3812
outrun         machine=outrun           YM2151
outruna        machine=outruna          YM2151
outrunb        machine=outruna          YM2151
outzone        machine=outzone          YM3812
outzonea       machine=outzone          YM3812
overdriv       machine=overdriv         YM2151
p47            machine=system_A         YM2151
p47j           machine=system_A         YM2151
pacgal         machine=pacman           NAMCO
pacheart       machine=pacman           NAMCO
pachiten       machine=pachiten         YM3812
pacland        machine=pacland          NAMCO
pacland2       machine=pacland          NAMCO
pacland3       machine=pacland          NAMCO
paclandm       machine=pacland          NAMCO
pacman         machine=pacman           NAMCO
pacmod         machine=pacman           NAMCO
pacnchmp       machine=superpac         NAMCO
pacnpal        machine=superpac         NAMCO
pacnpal2       machine=superpac         NAMCO
pacplus        machine=pacplus          NAMCO
paddle2        machine=bootleg          YM3812
paddlema       machine=alpha68k_I       YM3812
paintrlr       machine=pacman           NAMCO
pairsten       machine=gionbana         YM3812
pang           machine=pang             YM2413
pang3          machine=pang3            YM2151
pang3j         machine=pang3            YM2151
pangb          machine=pang             YM2413
paperboy       machine=atarisy2         YM2151
paperbr1       machine=atarisy2         YM2151
paperbr2       machine=atarisy2         YM2151
parodisj       machine=parodius         YM2151
parodius       machine=parodius         YM2151
passht4b       machine=passht4b         YM2151
passsht        machine=passsht          YM2151
passshtb       machine=passsht          YM2151
patimono       machine=patimono         YM3812
pbancho        machine=fuuki16          YM3812
pcktgal        machine=pcktgal          YM3812
pcktgal2       machine=pcktgal          YM3812
pcktgalb       machine=bootleg          YM3812
peepshow       machine=mjfocus          YM3812
peggle         machine=peggle           YM3812
pegglet        machine=peggle           YM3812
pengo          machine=pengo            NAMCO
pengo2         machine=pengo            NAMCO
pengo2u        machine=pengo            NAMCO
pengo3u        machine=pengo            NAMCO
pengob         machine=pengo            NAMCO
penta          machine=pengo            NAMCO
peterpak       machine=atarisy1         YM2151
phantasm       machine=system_A         YM2151
phozon         machine=phozon           NAMCO
pipibibi       machine=pipibibi         YM3812
pipibibs       machine=pipibibs         YM3812
piranha        machine=piranha          NAMCO
piranhah       machine=pacman           NAMCO
piranhao       machine=piranha          NAMCO
pkladiel       machine=marukin          YM2413
pkladies       machine=marukin          YM2413
plusalph       machine=system_A         YM2151
pnickj         machine=cps1             YM2151
pompingw       machine=pang             YM2413
ponpoko        machine=pacman           NAMCO
ponpokov       machine=pacman           NAMCO
porky          machine=porky            NAMCO
poundfor       machine=poundfor         YM2151
poundfou       machine=poundfor         YM2151
pow            machine=pow              YM3812
powj           machine=pow              YM3812
prehisle       machine=prehisle         YM3812
prehislu       machine=prehisle         YM3812
primella       machine=primella         YM2151
psailor1       machine=psailor1         YM3812
psailor2       machine=psailor2         YM3812
psoldier       machine=psoldier         YM2151
pstadium       machine=pstadium         YM3812
puckman        machine=pacman           NAMCO
puckmana       machine=pacman           NAMCO
puckmod        machine=pacman           NAMCO
punchout       machine=punchout         VLM5030
punisher       machine=qsound           YM2151
punishrj       machine=qsound           YM2151
punishru       machine=qsound           YM2151
punkshot       machine=punkshot         YM2151
punksht2       machine=punkshot         YM2151
punkshtj       machine=punkshot         YM2151
puzzli         machine=daitorid         YM2151
pyros          machine=wardner          YM3812
qad            machine=cps1             YM2151
qadj           machine=cps1             YM2151
qgakumon       machine=tmnt2            YM2151
qgh            machine=system24         YM2151
qmhayaku       machine=qmhayaku         YM3812
qrouka         machine=system24         YM2151
qsangoku       machine=pang             YM2413
qsww           machine=system24         YM2151
qtono1         machine=pang             YM2413
qtono2         machine=cps1             YM2151
quartet        machine=quartet          YM2151
quartet2       machine=quartet2         YM2151
quartetj       machine=quartet          YM2151
quarth         machine=blockhl          YM2151
quartt2j       machine=quartet2         YM2151
quiz365        machine=quiz365          YM2413
quizchq        machine=quizchq          YM2413
quizchql       machine=quizchq          YM2413
quizf1         machine=quizf1           YM2151
quizmeku       machine=system24         YM2151
quiztou        machine=namcona1         NAMCONA
quiztvqq       machine=yarunara         YM2413
rabiolep       machine=rpunch           YM2151
rackemup       machine=battlnts         YM3812
rainbow        machine=rainbow          YM2151
rainbowe       machine=rainbow          YM2151
rainbowo       machine=rainbow          YM2151
rallybik       machine=rallybik         YM3812
rampart        machine=rampart          YM2413
rampartj       machine=rampart          YM2413
ramprt2p       machine=rampart          YM2413
rastan         machine=rastan           YM2151
rastanu        machine=rastan           YM2151
rastanu2       machine=rastan           YM2151
rastsaga       machine=rastan           YM2151
realbrk        machine=realbrk          YM2413
redhawk        machine=redhawk          YM2151
relief         machine=relief           YM2413
relief2        machine=relief           YM2413
renaiclb       machine=renaiclb         YM3812
renegade       machine=renegade         YM3526
rf2            machine=rf2_gx400        VLM5030
rimrck12       machine=rimrockn         YM3812
rimrck16       machine=rimrockn         YM3812
rimrck20       machine=rimrockn         YM3812
rimrockn       machine=rimrockn         YM3812
riotcity       machine=riotcity         YM2151
riskchal       machine=m90              YM2151
roadblc1       machine=atarisy1         YM2151
roadblcg       machine=atarisy1         YM2151
roadblg1       machine=atarisy1         YM2151
roadblg2       machine=atarisy1         YM2151
roadbls1       machine=atarisy1         YM2151
roadbls2       machine=atarisy1         YM2151
roadbls3       machine=atarisy1         YM2151
roadblsc       machine=atarisy1         YM2151
roadblsg       machine=atarisy1         YM2151
roadblst       machine=atarisy1         YM2151
roadf          machine=roadf            VLM5030
roadf2         machine=roadf            VLM5030
roadrun1       machine=atarisy1         YM2151
roadrun2       machine=atarisy1         YM2151
roadrunn       machine=atarisy1         YM2151
robocop        machine=robocop          YM3812
robocop2       machine=robocop2         YM2151
robocopb       machine=robocopb         YM3812
robocopj       machine=robocop          YM3812
robocopu       machine=robocop          YM3812
robocopw       machine=robocop          YM3812
robocp2j       machine=robocop2         YM2151
robocp2u       machine=robocop2         YM2151
robocpu0       machine=robocop          YM3812
rockmanj       machine=cps1             YM2151
rodland        machine=system_A         YM2151
rodlandj       machine=system_A         YM2151
rodlndjb       machine=system_A         YM2151
rohga          machine=rohga            YM2151
rohgah         machine=rohga            YM2151
rohgau         machine=rohga            YM2151
rollerg        machine=rollerg          YM3812
rollergj       machine=rollerg          YM3812
rongrong       machine=rongrong         YM2413
rpunch         machine=rpunch           YM2151
rshark         machine=rshark           YM2151
rtype          machine=rtype            YM2151
rtype2         machine=rtype2           YM2151
rtype2j        machine=rtype2           YM2151
rtypelej       machine=raster           YM2151
rtypeleo       machine=raster           YM2151
rtypepj        machine=rtype            YM2151
rtypeu         machine=rtype            YM2151
rygar          machine=rygar            YM3812
rygar2         machine=rygar            YM3812
rygarj         machine=rygar            YM3812
ryukyu         machine=s16dummy         YM2151
sadari         machine=primella         YM2151
sailormn       machine=sailormn         YM2151
sailormo       machine=sailormn         YM2151
sailorwr       machine=sailorwr         YM3812
sailorws       machine=sailorws         YM3812
saiyugb1       machine=saiyugb1         YM2151
saiyugou       machine=chinagat         YM2151
samesam2       machine=samesame         YM3812
samesame       machine=samesame         YM3812
sauro          machine=sauro            YM3812
sbasebal       machine=alpha68k_V_sb    YM2413
sbasketb       machine=sbasketb         VLM5030
sbasketo       machine=sbasketb         VLM5030
sbasketu       machine=sbasketb         VLM5030
sbbros         machine=pang             YM2413
sboblbob       machine=boblbobl         YM3526
scandal        machine=scandal          YM3812
scandalm       machine=mjfocusm         YM3812
scontra        machine=scontra          YM2151
scontraj       machine=scontra          YM2151
sdi            machine=sdi              YM2151
sdioj          machine=sdi              YM2151
searchar       machine=searchar         YM3812
secretab       machine=slyspy           YM3812
secretag       machine=slyspy           YM3812
sercharu       machine=searchar         YM3812
sf1            machine=sf1              YM2151
sf1jp          machine=sf1jp            YM2151
sf1p           machine=sf1p             YM2151
sf1us          machine=sf1us            YM2151
